SEQNR,	LATITUDE,	LONGITUDE,	TIMESTAMP
0,	50.05246,	8.62403,	2018-10-09T14:15:48.194Z
1,	50.0538,	8.58633,	2018-10-09T14:17:13.194Z
2,	50.05135,	8.56377,	2018-10-09T14:18:06.194Z
3,	50.04929,	8.55352,	2018-10-09T14:18:30.194Z
4,	50.0392,	8.525,	2018-10-09T14:19:54.194Z
5,	50.01642,	8.49637,	2018-10-09T14:22:20.194Z
6,	49.99563,	8.47204,	2018-10-09T14:23:54.194Z
7,	49.97746,	8.45546,	2018-10-09T14:25:15.194Z
8,	49.97484,	8.42032,	2018-10-09T14:26:36.194Z
9,	49.97936,	8.34945,	2018-10-09T14:29:21.194Z
10,	49.98148,	8.33531,	2018-10-09T14:30:01.194Z
11,	49.97566,	8.3237,	2018-10-09T14:30:41.194Z
12,	49.95376,	8.2272,	2018-10-09T14:36:17.194Z
13,	49.93897,	8.20353,	2018-10-09T14:37:43.194Z
14,	49.92208,	8.1958,	2018-10-09T14:38:45.194Z
15,	49.8711,	8.16362,	2018-10-09T14:42:02.194Z
16,	49.85621,	8.15101,	2018-10-09T14:43:02.194Z
17,	49.84753,	8.14655,	2018-10-09T14:43:34.194Z
18,	49.82435,	8.14314,	2018-10-09T14:45:07.194Z
19,	49.80723,	8.14415,	2018-10-09T14:46:19.194Z
20,	49.79708,	8.14206,	2018-10-09T14:47:02.194Z
21,	49.7829,	8.12614,	2018-10-09T14:48:17.194Z
22,	49.75042,	8.08636,	2018-10-09T14:50:52.194Z
23,	49.72921,	8.08106,	2018-10-09T14:52:08.194Z
24,	49.72018,	8.07703,	2018-10-09T14:52:41.194Z
25,	49.70677,	8.06286,	2018-10-09T14:53:38.194Z
26,	49.69955,	8.05347,	2018-10-09T14:54:11.194Z
27,	49.68917,	8.04,	2018-10-09T14:54:59.194Z
28,	49.67334,	8.02572,	2018-10-09T14:56:04.194Z
29,	49.6507,	8.02965,	2018-10-09T14:57:26.194Z
30,	49.62669,	8.03084,	2018-10-09T14:58:52.194Z
31,	49.62208,	8.02758,	2018-10-09T14:59:10.194Z
32,	49.61506,	8.01934,	2018-10-09T14:59:41.194Z
33,	49.60943,	8.00814,	2018-10-09T15:00:13.194Z
34,	49.59951,	7.98181,	2018-10-09T15:01:23.194Z
35,	49.59599,	7.97235,	2018-10-09T15:01:48.194Z
36,	49.58025,	7.92765,	2018-10-09T15:03:45.194Z
37,	49.57294,	7.90287,	2018-10-09T15:04:49.194Z
38,	49.56356,	7.89677,	2018-10-09T15:05:25.194Z
39,	49.55892,	7.8903,	2018-10-09T15:05:47.194Z
40,	49.55589,	7.87608,	2018-10-09T15:06:21.194Z
41,	49.54397,	7.85583,	2018-10-09T15:07:26.194Z
42,	49.5258,	7.84542,	2018-10-09T15:08:36.194Z
43,	49.51746,	7.84617,	2018-10-09T15:09:06.194Z
44,	49.47944,	7.8351,	2018-10-09T15:11:23.194Z
45,	49.46906,	7.82507,	2018-10-09T15:12:08.194Z
46,	49.46231,	7.82047,	2018-10-09T15:12:41.194Z
47,	49.44921,	7.71839,	2018-10-09T15:17:03.194Z
48,	49.44331,	7.66515,	2018-10-09T15:19:09.194Z
49,	49.43645,	7.63808,	2018-10-09T15:20:16.194Z
50,	49.42522,	7.61417,	2018-10-09T15:21:24.194Z
51,	49.42054,	7.58936,	2018-10-09T15:22:25.194Z
52,	49.42083,	7.57915,	2018-10-09T15:22:48.194Z
53,	49.42142,	7.57041,	2018-10-09T15:23:09.194Z
54,	49.42005,	7.54113,	2018-10-09T15:24:17.194Z
55,	49.41508,	7.52119,	2018-10-09T15:25:06.194Z
56,	49.41168,	7.50942,	2018-10-09T15:25:36.194Z
57,	49.40814,	7.49711,	2018-10-09T15:26:07.194Z
58,	49.40139,	7.47374,	2018-10-09T15:27:05.194Z
59,	49.39093,	7.44339,	2018-10-09T15:28:24.194Z
60,	49.37691,	7.40935,	2018-10-09T15:29:57.194Z
61,	49.37313,	7.38957,	2018-10-09T15:30:44.194Z
62,	49.37266,	7.38143,	2018-10-09T15:31:03.194Z
63,	49.37204,	7.37131,	2018-10-09T15:31:26.194Z
64,	49.36049,	7.33716,	2018-10-09T15:32:56.194Z
65,	49.35326,	7.32296,	2018-10-09T15:33:37.194Z
66,	49.34933,	7.31525,	2018-10-09T15:33:59.194Z
67,	49.32394,	7.27085,	2018-10-09T15:36:15.194Z
68,	49.31713,	7.26276,	2018-10-09T15:36:45.194Z
69,	49.3017,	7.24253,	2018-10-09T15:37:57.194Z
70,	49.29326,	7.21076,	2018-10-09T15:39:16.194Z
71,	49.28576,	7.1853,	2018-10-09T15:40:20.194Z
72,	49.27262,	7.16083,	2018-10-09T15:41:38.194Z
73,	49.27134,	7.14278,	2018-10-09T15:42:20.194Z
74,	49.26602,	7.12612,	2018-10-09T15:43:04.194Z
75,	49.26089,	7.1059,	2018-10-09T15:43:57.194Z
76,	49.25412,	7.09365,	2018-10-09T15:44:34.194Z
77,	49.21144,	7.00351,	2018-10-09T15:49:58.194Z
78,	49.16511,	6.87223,	2018-10-09T15:56:51.194Z
79,	49.16314,	6.85976,	2018-10-09T15:57:21.194Z
80,	49.14459,	6.82107,	2018-10-09T15:59:16.194Z
81,	49.13721,	6.76723,	2018-10-09T16:01:41.194Z
82,	49.13478,	6.72955,	2018-10-09T16:03:12.194Z
83,	49.13618,	6.71956,	2018-10-09T16:03:37.194Z
84,	49.13262,	6.66561,	2018-10-09T16:05:58.194Z
85,	49.13628,	6.62401,	2018-10-09T16:07:39.194Z
86,	49.13277,	6.56728,	2018-10-09T16:09:55.194Z
87,	49.13221,	6.55586,	2018-10-09T16:10:22.194Z
88,	49.13274,	6.53297,	2018-10-09T16:11:16.194Z
89,	49.13193,	6.52363,	2018-10-09T16:11:38.194Z
90,	49.13337,	6.50547,	2018-10-09T16:12:21.194Z
91,	49.14114,	6.47514,	2018-10-09T16:13:37.194Z
92,	49.14075,	6.44311,	2018-10-09T16:14:52.194Z
93,	49.14108,	6.42435,	2018-10-09T16:15:37.194Z
94,	49.13877,	6.41765,	2018-10-09T16:15:54.194Z
95,	49.13994,	6.39289,	2018-10-09T16:16:55.194Z
