SEQNR,	LATITUDE,	LONGITUDE,	TIMESTAMP
0,	50.09147,	8.64314,	2018-10-30T14:15:55.499Z
1,	50.08957,	8.63909,	2018-10-30T14:16:16.499Z
2,	50.08797,	8.62271,	2018-10-30T14:17:39.499Z
3,	50.07908,	8.61701,	2018-10-30T14:19:25.499Z
4,	50.06699,	8.611,	2018-10-30T14:20:11.499Z
5,	50.05963,	8.60735,	2018-10-30T14:20:43.499Z
6,	50.05672,	8.6059,	2018-10-30T14:20:58.499Z
7,	50.04786,	8.60149,	2018-10-30T14:21:36.499Z
8,	50.03986,	8.5975,	2018-10-30T14:22:09.499Z
9,	50.0315,	8.59374,	2018-10-30T14:22:42.499Z
10,	50.02728,	8.59272,	2018-10-30T14:22:55.499Z
11,	50.01769,	8.59299,	2018-10-30T14:23:26.499Z
12,	50.01266,	8.5941,	2018-10-30T14:23:42.499Z
13,	50.00588,	8.59572,	2018-10-30T14:24:04.499Z
14,	49.99963,	8.59722,	2018-10-30T14:24:29.499Z
15,	49.98876,	8.59982,	2018-10-30T14:25:04.499Z
16,	49.98403,	8.60095,	2018-10-30T14:25:21.499Z
17,	49.97965,	8.60196,	2018-10-30T14:25:36.499Z
18,	49.97582,	8.60291,	2018-10-30T14:25:51.499Z
19,	49.96489,	8.60551,	2018-10-30T14:26:30.499Z
20,	49.95737,	8.60729,	2018-10-30T14:26:55.499Z
21,	49.95425,	8.60805,	2018-10-30T14:27:06.499Z
22,	49.95053,	8.60895,	2018-10-30T14:27:19.499Z
23,	49.94404,	8.61049,	2018-10-30T14:27:45.499Z
24,	49.93871,	8.61177,	2018-10-30T14:28:04.499Z
25,	49.93317,	8.61287,	2018-10-30T14:28:25.499Z
26,	49.92893,	8.61301,	2018-10-30T14:28:40.499Z
27,	49.92225,	8.6118,	2018-10-30T14:29:05.499Z
28,	49.91681,	8.60993,	2018-10-30T14:29:25.499Z
29,	49.91079,	8.60825,	2018-10-30T14:29:47.499Z
30,	49.90418,	8.60693,	2018-10-30T14:30:16.499Z
31,	49.89857,	8.60577,	2018-10-30T14:30:38.499Z
32,	49.88517,	8.6032,	2018-10-30T14:31:25.499Z
33,	49.88287,	8.60282,	2018-10-30T14:31:33.499Z
34,	49.87909,	8.6022,	2018-10-30T14:31:47.499Z
35,	49.87117,	8.60083,	2018-10-30T14:32:21.499Z
36,	49.83756,	8.59371,	2018-10-30T14:34:49.499Z
37,	49.834,	8.59247,	2018-10-30T14:35:03.499Z
38,	49.82179,	8.58442,	2018-10-30T14:35:51.499Z
39,	49.81884,	8.58244,	2018-10-30T14:36:03.499Z
40,	49.81611,	8.5806,	2018-10-30T14:36:13.499Z
41,	49.8109,	8.5771,	2018-10-30T14:36:36.499Z
42,	49.80261,	8.57155,	2018-10-30T14:37:09.499Z
43,	49.79309,	8.56513,	2018-10-30T14:37:48.499Z
44,	49.78379,	8.55761,	2018-10-30T14:38:24.499Z
45,	49.77779,	8.55247,	2018-10-30T14:38:48.499Z
46,	49.76894,	8.54537,	2018-10-30T14:39:22.499Z
47,	49.76099,	8.54375,	2018-10-30T14:39:49.499Z
48,	49.75751,	8.54364,	2018-10-30T14:40:01.499Z
49,	49.7479,	8.54337,	2018-10-30T14:40:33.499Z
50,	49.72532,	8.54276,	2018-10-30T14:41:56.499Z
51,	49.71882,	8.54374,	2018-10-30T14:42:19.499Z
52,	49.71088,	8.54583,	2018-10-30T14:42:46.499Z
53,	49.7054,	8.54727,	2018-10-30T14:43:04.499Z
54,	49.70255,	8.54804,	2018-10-30T14:43:14.499Z
55,	49.69962,	8.54883,	2018-10-30T14:43:24.499Z
56,	49.69626,	8.54971,	2018-10-30T14:43:40.499Z
57,	49.68195,	8.55349,	2018-10-30T14:44:29.499Z
58,	49.67903,	8.55423,	2018-10-30T14:44:40.499Z
59,	49.67134,	8.55569,	2018-10-30T14:45:06.499Z
60,	49.66628,	8.55541,	2018-10-30T14:45:24.499Z
61,	49.66001,	8.55366,	2018-10-30T14:45:50.499Z
62,	49.64767,	8.55199,	2018-10-30T14:46:40.499Z
63,	49.64143,	8.55294,	2018-10-30T14:47:04.499Z
64,	49.62777,	8.55506,	2018-10-30T14:47:53.499Z
65,	49.60674,	8.5583,	2018-10-30T14:48:57.499Z
66,	49.60158,	8.55912,	2018-10-30T14:49:13.499Z
67,	49.59446,	8.56022,	2018-10-30T14:49:40.499Z
68,	49.59028,	8.56061,	2018-10-30T14:49:54.499Z
69,	49.58726,	8.56067,	2018-10-30T14:50:04.499Z
70,	49.57338,	8.55953,	2018-10-30T14:50:48.499Z
71,	49.56664,	8.55892,	2018-10-30T14:51:10.499Z
72,	49.56134,	8.55846,	2018-10-30T14:51:29.499Z
73,	49.5502,	8.55861,	2018-10-30T14:52:06.499Z
74,	49.54785,	8.55871,	2018-10-30T14:52:14.499Z
75,	49.5407,	8.55903,	2018-10-30T14:52:38.499Z
