Latitude,Longitude,Heading
44.3560716,-0.85431,25.54
44.3560716,-0.85431,0
44.380295,-0.8386216,27.84
44.3923883,-0.830535,42.09
44.4025583,-0.8188833,17.28
44.4155883,-0.8199616,352.98
44.42876,-0.81695,17.2
44.4412416,-0.81152,16.68
44.45434,-0.8108116,347.98
44.45434,-0.8108116,0
44.4780866,-0.8290466,329.14
44.48954,-0.8369166,339.63
44.5026216,-0.8412366,350.02
44.5158083,-0.8405616,16.07
44.52886,-0.8371233,5.26
44.52886,-0.8371233,0
44.554745,-0.8317033,3.39
44.5680833,-0.83281,354.18
44.58113,-0.8363016,344.46
44.5930833,-0.8428133,337.25
44.60554,-0.8491983,345.47
