LATITUDE,LONGITUDE
35.54231117,139.51540805
35.54230513,139.51540577
35.54226217,139.51541732
35.54223063,139.51542801
35.54219315,139.51544688
35.54215895,139.51543757
35.54211345,139.51544447
35.54207037,139.51544247
35.54203003,139.51546605
35.54198975,139.51547525
35.54194937,139.51548592
35.54190634,139.51549460
35.54186082,139.51550054
35.54180546,139.51548572
35.54177447,139.51549351
35.54173474,139.51550650
35.54168940,139.51548866
35.54165232,139.51548608
35.54163179,139.51549151
35.54162290,139.51553464
35.54161494,139.51557736
35.54162108,139.51563705
35.54162096,139.51569045
35.54161398,139.51573242
35.54162460,139.51578330
35.54162775,139.51583900
35.54163104,139.51587663
35.54163401,139.51590468
35.54163710,139.51594501
35.54164059,139.51599346
35.54166568,139.51606675
35.54167183,139.51614137
35.54166717,139.51619960
35.54165749,139.51622727
35.54166220,139.51623523
35.54165996,139.51623634
35.54165490,139.51625832
35.54166065,139.51626005
35.54166460,139.51626433
35.54165702,139.51627154
35.54166322,139.51626987
35.54166500,139.51626642
35.54167920,139.51625108
35.54167838,139.51624817
35.54167881,139.51624526
35.54167670,139.51624112
35.54167412,139.51623694
35.54167197,139.51623249
35.54169174,139.51623278
35.54170992,139.51622674
35.54169576,139.51622785
35.54169557,139.51623380
35.54169168,139.51629684
35.54170619,139.51637893
35.54171028,139.51644647
35.54171050,139.51652460
35.54171654,139.51659495
35.54171771,139.51666537
35.54171487,139.51674502
35.54168048,139.51680784
35.54166229,139.51689016
35.54164412,139.51697370
35.54161470,139.51706045
35.54158412,139.51714699
35.54155724,139.51722733
35.54152494,139.51728603
35.54150067,139.51736588
35.54148492,139.51744800
35.54145770,139.51754089
35.54143608,139.51765328
35.54139454,139.51776503
35.54134958,139.51788589
35.54130579,139.51803028
35.54125043,139.51818218
35.54120412,139.51831717
35.54116314,139.51845111
35.54112158,139.51859266
35.54107541,139.51872985
35.54103164,139.51886367
35.54098982,139.51899331
35.54095168,139.51912708
35.54091358,139.51925655
35.54086910,139.51938724
35.54081684,139.51951875
35.54077218,139.51965920
35.54071053,139.51980405
35.54065129,139.51995317
35.54059144,139.52010707
35.54051684,139.52025955
35.54044529,139.52040986
35.54036470,139.52055278
35.54028469,139.52069083
35.54020028,139.52082188
35.54012034,139.52094433
35.54004523,139.52105866
