SEQNR,LATITUDE,LONGITUDE
0,41.72299,12.75271
1,41.72748,12.75777
2,41.73254,12.76498
3,41.73798,12.77116
4,41.74394,12.77871
5,41.7522,12.78446
6,41.76116,12.78841
7,41.75947,12.79114
8,41.75715,12.79313
9,41.75603,12.79717
10,41.75612,12.80232
11,41.75615,12.80571
12,41.75627,12.80755
13,41.75679,12.81109
14,41.75731,12.81807
15,41.75675,12.82285
16,41.7539,12.82751
17,41.75265,12.82669
18,41.75198,12.82599
19,41.75154,12.82442
20,41.7511,12.82193
21,41.75142,12.81824
22,41.75241,12.81766
23,41.75561,12.81921
24,41.75558,12.81451
25,41.75307,12.80809
26,41.75475,12.80627
27,41.75553,12.81275
